match_id,date,home_elo,away_elo,home_form,away_form,home_win_rate,away_win_rate,home_rest_days,away_rest_days,result
3,2021-08-13,1500.0,1500.0,0,0,0.5,0.5,7,7,H
4,2021-08-14,1500.0,1500.0,0,0,0.5,0.5,7,7,D
5,2021-08-14,1500.0,1500.0,0,0,0.5,0.5,7,7,D
6,2021-08-14,1500.0,1500.0,0,0,0.5,0.5,7,7,A
7,2021-08-14,1500.0,1500.0,0,0,0.5,0.5,7,7,D
8,2021-08-15,1500.0,1500.0,0,0,0.5,0.5,7,7,A
9,2021-08-15,1500.0,1500.0,0,0,0.5,0.5,7,7,H
10,2021-08-15,1500.0,1500.0,0,0,0.5,0.5,7,7,H
11,2021-08-16,1500.0,1500.0,0,0,0.5,0.5,7,7,D
12,2021-08-16,1500.0,1500.0,0,0,0.5,0.5,7,7,D
13,2021-08-20,1502.13,1497.87,1,1,0.5,0.5,6,6,D
14,2021-08-21,1487.87,1497.87,0,1,0.0,0.5,7,7,A
15,2021-08-21,1502.13,1497.87,1,1,0.5,0.5,7,5,D
16,2021-08-21,1502.13,1507.87,1,3,0.5,0.5,5,8,D
17,2021-08-21,1502.13,1507.87,1,3,0.5,0.5,5,6,D
18,2021-08-22,1492.13,1492.13,0,0,0.5,0.0,7,7,H
19,2021-08-22,1512.13,1497.87,3,1,0.5,0.5,7,6,H
20,2021-08-22,1502.13,1512.13,1,3,0.5,1.0,8,8,D
21,2021-08-23,1492.13,1507.87,0,3,0.5,0.5,10,8,A
22,2021-08-23,1497.87,1487.87,1,0,0.0,0.5,9,8,D
23,2021-08-27,1509.72,1499.88,4,2,0.0,0.0,6,6,H
24,2021-08-27,1509.84,1476.02,4,0,1.0,0.5,6,6,H
25,2021-08-28,1490.27,1500.16,1,2,0.0,0.0,5,7,A
26,2021-08-28,1490.39,1519.56,1,6,0.0,1.0,6,5,D
27,2021-08-28,1500.0,1500.28,3,2,1.0,0.0,6,6,H
28,2021-08-28,1499.88,1513.98,2,4,0.0,0.5,8,6,A
29,2021-08-29,1509.84,1480.44,4,0,1.0,0.0,8,6,H
30,2021-08-29,1500.12,1495.48,2,2,0.0,0.5,9,6,A
31,2021-08-29,1484.25,1500.16,0,2,0.5,0.0,7,8,H
32,2021-08-29,1519.61,1500.12,6,2,1.0,0.0,7,8,D
33,2021-09-11,1492.39,1492.57,2,3,0.0,0.0,14,13,D
34,2021-09-11,1512.01,1517.33,5,7,0.0,1.0,14,15,H
35,2021-09-12,1492.28,1516.96,2,7,0.0,1.0,16,14,A
36,2021-09-12,1507.73,1516.81,5,7,0.0,0.0,14,16,A
37,2021-09-12,1487.86,1507.88,2,6,0.0,0.0,14,15,A
38,2021-09-12,1525.71,1478.42,7,1,0.5,0.0,15,15,H
39,2021-09-13,1473.35,1489.08,0,2,0.0,0.0,15,16,A
40,2021-09-13,1491.84,1488.15,2,2,0.0,0.0,15,16,A
41,2021-09-17,1471.8,1476.29,1,2,0.0,0.0,5,5,A
42,2021-09-18,1494.69,1461.66,4,0,1.0,0.0,7,5,H
43,2021-09-18,1528.4,1520.03,10,8,0.5,0.5,6,7,D
44,2021-09-18,1500.77,1490.27,5,3,0.0,0.0,5,7,D
45,2021-09-18,1469.06,1495.85,0,5,0.0,1.0,22,6,A
46,2021-09-19,1509.31,1502.77,7,3,0.5,0.0,8,21,D
47,2021-09-19,1519.45,1520.87,9,7,1.0,0.5,7,22,D
48,2021-09-19,1500.38,1480.84,5,2,0.0,0.0,6,7,D
49,2021-09-19,1528.68,1532.33,10,10,1.0,0.6666666666666666,7,7,A
50,2021-09-20,1516.92,1479.62,7,2,1.0,0.0,22,7,D
51,2021-09-21,1454.68,1526.04,0,11,0.0,1.0,3,3,A
52,2021-09-21,1522.39,1501.68,9,7,0.5,0.0,3,3,A
53,2021-09-21,1492.69,1459.8,4,1,0.0,0.0,3,4,A
54,2021-09-22,1483.5,1457.68,3,0,0.0,0.0,3,4,H
55,2021-09-22,1522.96,1516.66,8,10,1.0,0.5,3,3,H
56,2021-09-22,1544.35,1507.0,13,8,1.0,0.5,3,3,H
57,2021-09-22,1505.08,1498.35,4,6,0.0,0.5,3,4,H
58,2021-09-23,1482.74,1517.36,3,10,0.0,0.5,3,4,A
59,2021-09-23,1507.23,1497.72,8,6,0.0,0.5,5,4,A
60,2021-09-23,1488.3,1513.8,5,8,0.0,0.0,6,3,D
61,2021-09-25,1450.5,1536.15,0,11,0.0,1.0,3,4,H
62,2021-09-25,1508.96,1509.7,7,8,0.6666666666666666,0.3333333333333333,3,4,D
63,2021-09-25,1530.66,1490.67,11,5,1.0,0.0,3,3,H
64,2021-09-25,1551.23,1512.77,13,7,1.0,0.0,3,3,D
65,2021-09-26,1500.13,1494.85,7,7,0.3333333333333333,1.0,4,3,A
66,2021-09-26,1515.21,1479.68,9,3,0.6666666666666666,0.0,3,5,H
67,2021-09-26,1528.52,1490.66,13,5,0.6666666666666666,0.3333333333333333,3,4,H
68,2021-09-26,1514.36,1486.88,10,5,1.0,0.5,5,3,H
69,2021-09-26,1510.11,1444.57,8,0,0.0,0.0,3,5,H
70,2021-09-27,1472.81,1471.58,4,2,0.0,0.0,6,4,H
71,2021-10-01,1511.8,1460.81,8,3,0.3333333333333333,0.0,6,6,H
72,2021-10-02,1507.12,1521.5,9,13,0.0,0.25,6,6,H
73,2021-10-02,1487.86,1472.76,4,2,0.25,0.0,6,6,H
74,2021-10-02,1479.75,1506.85,4,7,0.0,0.3333333333333333,6,7,D
75,2021-10-02,1525.84,1522.14,8,9,0.3333333333333333,0.0,7,6,H
76,2021-10-03,1483.8,1480.65,5,6,0.0,0.3333333333333333,7,6,H
77,2021-10-03,1483.87,1548.07,4,13,0.3333333333333333,0.75,8,8,H
78,2021-10-03,1438.41,1535.38,0,13,0.0,0.6666666666666666,7,7,D
79,2021-10-03,1515.92,1516.27,7,10,0.5,0.6666666666666666,8,7,H
80,2021-10-03,1463.74,1537.47,1,11,0.0,0.3333333333333333,6,8,H
81,2021-10-16,1465.29,1439.04,2,1,0.0,0.0,14,13,D
82,2021-10-16,1534.75,1495.32,11,4,0.75,0.3333333333333333,13,14,H
83,2021-10-17,1513.22,1491.59,10,7,1.0,0.25,15,14,H
84,2021-10-17,1472.86,1527.51,6,8,0.25,0.25,14,14,A
85,2021-10-17,1523.8,1515.39,9,9,0.6666666666666666,1.0,14,15,A
86,2021-10-17,1514.36,1508.22,8,5,0.75,0.25,15,15,H
87,2021-10-18,1454.28,1508.38,3,10,0.25,0.5,17,15,A
88,2021-10-18,1493.56,1478.38,7,5,0.5,0.3333333333333333,15,16,H
89,2021-10-22,1527.75,1473.71,12,4,0.2,0.0,5,19,D
90,2021-10-23,1500.51,1488.5,2,4,0.5,0.25,6,7,D
91,2021-10-23,1470.92,1443.68,5,3,0.0,0.0,5,5,A
92,2021-10-23,1484.3,1501.02,4,10,0.25,0.0,6,5,D
93,2021-10-23,1518.33,1511.45,8,8,0.5,0.0,22,6,H
94,2021-10-24,1538.09,1462.46,10,2,1.0,0.0,7,8,H
95,2021-10-24,1522.07,1538.39,8,10,0.8,0.6,7,21,A
96,2021-10-24,1518.98,1520.51,10,12,0.25,0.2,6,7,H
97,2021-10-24,1533.61,1541.57,10,11,0.5,0.5,22,8,D
98,2021-10-25,1441.88,1462.28,2,6,0.0,0.25,9,8,A
99,2021-10-26,1456.54,1482.64,6,4,0.2,0.2,3,3,H
100,2021-10-26,1502.68,1526.02,10,8,0.6,0.25,3,3,D
101,2021-10-26,1503.76,1458.06,7,2,0.5,0.25,3,3,D
102,2021-10-27,1490.95,1544.01,4,12,0.4,0.4,4,3,D
103,2021-10-27,1512.59,1510.4,9,7,1.0,0.0,3,3,H
104,2021-10-27,1526.9,1498.06,12,3,0.4,0.2,3,4,H
105,2021-10-27,1550.06,1524.19,10,10,0.6666666666666666,1.0,3,5,D
106,2021-10-28,1473.84,1543.48,9,11,0.2,0.4,3,4,A
107,2021-10-28,1477.26,1430.32,5,2,0.25,0.0,6,3,D
108,2021-10-28,1456.54,1531.71,1,8,0.0,0.75,4,4,D
109,2021-10-30,1474.04,1547.23,4,8,0.2,0.6666666666666666,4,3,A
110,2021-10-30,1544.64,1527.02,10,11,1.0,0.8,3,3,H
111,2021-10-30,1490.96,1500.42,3,5,0.4,0.0,3,4,H
112,2021-10-30,1502.58,1465.15,6,9,0.6666666666666666,0.25,3,4,D
113,2021-10-31,1461.4,1490.32,2,5,0.0,0.2,5,4,D
114,2021-10-31,1531.7,1534.0,8,12,0.4,0.6,3,4,H
115,2021-10-31,1433.69,1501.2,3,8,0.0,0.0,3,5,H
116,2021-10-31,1553.63,1527.49,11,8,0.8,0.2,3,5,D
117,2021-11-01,1520.41,1463.68,9,6,1.0,0.4,5,4,D
118,2021-11-01,1456.55,1473.89,2,5,0.0,0.0,4,4,A
119,2021-11-05,1530.32,1460.08,9,3,0.6,0.2,5,5,A
120,2021-11-06,1491.42,1485.53,8,8,0.5,0.16666666666666666,6,5,H
121,2021-11-06,1467.3,1499.45,4,4,0.16666666666666666,0.0,5,7,D
122,2021-11-06,1468.27,1444.9,7,2,0.3333333333333333,0.0,7,5,H
123,2021-11-06,1557.29,1516.79,8,7,0.5,0.16666666666666666,7,5,H
124,2021-11-07,1492.29,1443.47,4,6,0.4,0.0,8,7,H
125,2021-11-07,1499.1,1539.64,5,8,0.5,0.6,8,7,D
126,2021-11-07,1491.64,1463.99,6,4,0.3333333333333333,0.16666666666666666,7,8,D
127,2021-11-07,1519.62,1550.8,8,9,0.16666666666666666,0.5,8,7,A
128,2021-11-07,1526.06,1552.03,9,10,0.5,0.3333333333333333,7,8,A
129,2021-11-19,1437.66,1516.37,2,8,0.0,0.16666666666666666,13,14,D
130,2021-11-20,1466.07,1498.87,5,4,0.14285714285714285,0.0,14,13,D
131,2021-11-20,1563.44,1475.52,13,10,1.0,0.2,13,14,D
132,2021-11-20,1540.63,1508.37,9,5,0.5,0.6666666666666666,13,13,H
133,2021-11-20,1500.68,1499.13,5,8,0.5714285714285714,0.0,14,14,H
134,2021-11-21,1436.89,1474.03,5,5,0.16666666666666666,0.3333333333333333,14,16,H
135,2021-11-21,1477.82,1564.08,8,10,0.2,0.7142857142857143,15,15,A
136,2021-11-21,1466.86,1514.66,2,9,0.16666666666666666,0.5,14,14,A
137,2021-11-21,1562.06,1498.11,11,5,0.6666666666666666,0.16666666666666666,14,14,D
138,2021-11-22,1510.0,1488.77,7,4,0.8333333333333334,0.16666666666666666,16,15,H
139,2021-11-26,1516.26,1468.14,6,5,0.5,0.14285714285714285,7,5,D
140,2021-11-27,1479.89,1464.86,11,6,0.42857142857142855,0.3333333333333333,7,7,A
141,2021-11-27,1501.91,1517.3,6,7,0.42857142857142855,0.14285714285714285,6,5,D
142,2021-11-27,1481.47,1445.81,4,7,0.2857142857142857,0.0,5,6,D
143,2021-11-27,1500.07,1508.51,5,5,0.5,0.0,7,7,A
144,2021-11-28,1525.44,1437.77,9,2,0.42857142857142855,0.0,7,9,H
145,2021-11-28,1491.3,1558.26,5,9,0.5714285714285714,0.5714285714285714,8,7,H
146,2021-11-28,1465.12,1547.63,5,9,0.0,0.5,7,8,A
